"City/Place	School	Students	DistanceFromHelsinki"
"Tampere	TAMK	10 352	179"
"Turku	Turun AMK	9 462	167"
"Vaasa	VAMK	3 253	420"
"Pori	SAMK	5 712	225"
"Kemi	Lapin AMK	5 858	711"
"Kajaani	KAMK	2 253	558"
"Porvoo	Haaga-Helia	10 798	51"
"Mikkeli	XAMK	9 126	230"
"Oulu	Oamk	8 364	607"
"Maarianhamina	HÅ	500	387"
"Vaasa	Novia	4 154	420"
"Kokkola	Centria	3 061	479"
"Pori	Diak	2 882	225"
"Hämeenlinna	HAMK	7 392	100"
"Jyväskylä	JAMK	8 046	269"
"Joensuu	Karelia	3 700	437"
"Lahti	LAB	8500	103"
"Espoo	Laurea	7 803	21"
"Tampere	Polamk	1 000	179"
"Kuopio	Savonia	6 612	390"
"Seinäjoki	SeAMK	5 011	359"
